symbol,name,market,sector,industry,theme,note
1301.T,極洋,JP,水産・農林業,食品,水産・農林業,プライム（内国株式）
130A.T,Ｖｅｒｉｔａｓ Ｉｎ Ｓｉｌｉｃｏ,JP,医薬品,医薬品,医薬品,グロース（内国株式）
1332.T,ニッスイ,JP,水産・農林業,食品,水産・農林業,プライム（内国株式）
1333.T,Ｕｍｉｏｓ,JP,水産・農林業,食品,水産・農林業,プライム（内国株式）
135A.T,ＶＲＡＩＮ Ｓｏｌｕｔｉｏｎ,JP,情報・通信業,情報通信・サービスその他,情報・通信業,グロース（内国株式）
1375.T,ユキグニファクトリー,JP,水産・農林業,食品,水産・農林業,プライム（内国株式）
1376.T,カネコ種苗,JP,水産・農林業,食品,水産・農林業,スタンダード（内国株式）
1377.T,サカタのタネ,JP,水産・農林業,食品,水産・農林業,プライム（内国株式）
1379.T,ホクト,JP,水産・農林業,食品,水産・農林業,プライム（内国株式）
137A.T,Ｃｏｃｏｌｉｖｅ,JP,情報・通信業,情報通信・サービスその他,情報・通信業,グロース（内国株式）
1380.T,秋川牧園,JP,水産・農林業,食品,水産・農林業,スタンダード（内国株式）
1381.T,アクシーズ,JP,水産・農林業,食品,水産・農林業,スタンダード（内国株式）
1382.T,ホーブ,JP,水産・農林業,食品,水産・農林業,スタンダード（内国株式）
1383.T,ベルグアース,JP,水産・農林業,食品,水産・農林業,スタンダード（内国株式）
1384.T,ホクリヨウ,JP,水産・農林業,食品,水産・農林業,スタンダード（内国株式）
138A.T,光フードサービス,JP,小売業,小売,小売業,グロース（内国株式）
1401.T,エムビーエス,JP,建設業,建設・資材,建設業,グロース（内国株式）
1407.T,ウエストホールディングス,JP,建設業,建設・資材,建設業,スタンダード（内国株式）
1414.T,ショーボンドホールディングス,JP,建設業,建設・資材,建設業,プライム（内国株式）
1417.T,ミライト・ワン,JP,建設業,建設・資材,建設業,プライム（内国株式）
1418.T,インターライフホールディングス,JP,建設業,建設・資材,建設業,スタンダード（内国株式）
1419.T,タマホーム,JP,建設業,建設・資材,建設業,プライム（内国株式）
141A.T,トライアルホールディングス,JP,小売業,小売,小売業,グロース（内国株式）
1420.T,サンヨーホームズ,JP,建設業,建設・資材,建設業,スタンダード（内国株式）
1429.T,日本アクア,JP,建設業,建設・資材,建設業,プライム（内国株式）
142A.T,ジンジブ,JP,サービス業,情報通信・サービスその他,サービス業,グロース（内国株式）
1430.T,ファーストコーポレーション,JP,建設業,建設・資材,建設業,スタンダード（内国株式）
1431.T,Ｌｉｂ Ｗｏｒｋ,JP,建設業,建設・資材,建設業,グロース（内国株式）
1433.T,ベステラ,JP,建設業,建設・資材,建設業,プライム（内国株式）
1434.T,ＪＥＳＣＯホールディングス,JP,建設業,建設・資材,建設業,スタンダード（内国株式）
1435.T,ｒｏｂｏｔ ｈｏｍｅ,JP,不動産業,不動産,不動産業,スタンダード（内国株式）
1436.T,グリーンエナジー＆カンパニー,JP,建設業,建設・資材,建設業,グロース（内国株式）
1438.T,岐阜造園,JP,建設業,建設・資材,建設業,スタンダード（内国株式）
143A.T,イシン,JP,サービス業,情報通信・サービスその他,サービス業,グロース（内国株式）
1443.T,技研ホールディングス,JP,建設業,建設・資材,建設業,スタンダード（内国株式）
