symbol,name,market,theme,note
NVDA,NVIDIA,US,AI Infrastructure,liquid large cap
MSFT,Microsoft,US,AI Infrastructure,liquid large cap
AAPL,Apple,US,Consumer Tech,liquid large cap
AMZN,Amazon,US,AI Infrastructure,liquid large cap
GOOGL,Alphabet,US,AI Infrastructure,liquid large cap
META,Meta Platforms,US,AI Infrastructure,liquid large cap
TSLA,Tesla,US,Robotics,liquid large cap
AVGO,Broadcom,US,AI Infrastructure,liquid large cap
AMD,Advanced Micro Devices,US,Semiconductor,liquid large cap
MU,Micron Technology,US,HBM Memory,AI memory leader
SNDK,SanDisk,US,Memory,storage cycle candidate
MRVL,Marvell Technology,US,AI Infrastructure,networking semiconductor
ANET,Arista Networks,US,AI Infrastructure,data center networking
LITE,Lumentum,US,Optical,AI optical communication
KLAC,KLA,US,Semiconductor,semiconductor equipment
LRCX,Lam Research,US,Semiconductor,semiconductor equipment
AMAT,Applied Materials,US,Semiconductor,semiconductor equipment
ASML,ASML Holding,US,Semiconductor,semiconductor equipment
TSM,Taiwan Semiconductor,US,Semiconductor,foundry leader
ARM,Arm Holdings,US,Semiconductor,AI semiconductor
QCOM,Qualcomm,US,Semiconductor,semiconductor large cap
INTC,Intel,US,Semiconductor,semiconductor large cap
TXN,Texas Instruments,US,Semiconductor,analog semiconductor
ADI,Analog Devices,US,Semiconductor,analog semiconductor
NXPI,NXP Semiconductors,US,Semiconductor,auto semiconductor
MCHP,Microchip Technology,US,Semiconductor,industrial semiconductor
ON,ON Semiconductor,US,Semiconductor,power semiconductor
MPWR,Monolithic Power Systems,US,Semiconductor,power semiconductor
TER,Teradyne,US,Semiconductor,semiconductor equipment
COHR,Coherent,US,Optical,optical communication
PANW,Palo Alto Networks,US,Cybersecurity,security leader
CRWD,CrowdStrike,US,Cybersecurity,security leader
FTNT,Fortinet,US,Cybersecurity,security leader
ZS,Zscaler,US,Cybersecurity,cloud security
NET,Cloudflare,US,Cybersecurity,edge security
OKTA,Okta,US,Cybersecurity,identity security
S,SentinelOne,US,Cybersecurity,endpoint security
APP,AppLovin,US,Software,momentum software
HOOD,Robinhood,US,Fintech,momentum fintech
COIN,Coinbase,US,Fintech,crypto infrastructure
SOFI,SoFi Technologies,US,Fintech,fintech growth
AFRM,Affirm,US,Fintech,fintech growth
SQ,Block,US,Fintech,payments fintech
PYPL,PayPal,US,Fintech,payments fintech
V,Visa,US,Fintech,payments large cap
MA,Mastercard,US,Fintech,payments large cap
